ID,Floy tag number,Date tagged,Release Time,Trap ID,Zone,Trap depth (m),Floy reward amount,Total length (cm),Weight (g),Release location,Notes,Recapture date,Report date,Fate,Method,Reported location,Reported length,Reported weight,Photo verification Y/N,Return/report notes
102,7595,10/27/22,10:00,CARP3-Z4-410,4,9.7,0,54.8,1050,CARP3-Z4-410,,6/7/23,6/7/23,released,cod trap ,CARP6-Z3-61,56,1100,NA,Recaptured by research team in Zone 3 (was originally released in zone 4)
103,7405,10/27/22,11:22,CARP3-Z4-128,4,10,100,70.2,2200,CARP3-Z4-128,,,,,,,,,,
104,7597,10/27/22,11:24,CARP3-Z4-128,4,10,0,54.2,1100,CARP3-Z4-128,,,,,,,,,,
105,7406,10/27/22,12:31,CARP3-Z4-194,4,8.5,100,74.9,2700,CARP3-Z4-194,,,,,,,,,,
106,7598,10/28/22,8:50,CARP3-Z1-283,1,3.4,0,92.2,5500,CARP3-Z1-283,,,,,,,,,,
107,7407,10/28/22,8:57,CARP3-Z1-364,1,2.9,100,56.2,950,CARP3-Z1-364,,,,,,,,,,
108,7599,10/28/22,9:23,CARP3-Z1-344,1,3.3,0,88.2,5300,CARP3-Z1-344,,,,,,,,,,
109,7408,10/28/22,9:30,CARP3-Z1-286,1,7.2,100,60.8,1650,CARP3-Z1-286,,,,,,,,,,
110,7600,10/28/22,9:32,CARP3-Z1-286,1,7.2,0,62.9,1300,CARP3-Z1-286,,,,,,,,,,
111,7409,10/28/22,9:35,CARP3-Z1-286,1,7.2,100,52.2,950,CARP3-Z1-286,,,,,,,,,,
112,7601,10/28/22,9:40,CARP3-Z1-404,1,5.9,0,59.1,1200,CARP3-Z1-404,,,,,,,,,,
113,7410,10/28/22,10:27,CARP3-Z1-417,1,5.3,100,71.3,2350,CARP3-Z1-417,,,,,,,,,,
114,7602,10/28/22,10:41,CARP3-Z1-330,1,10,0,93.7,6300,CARP3-Z1-330,,,,,,,,,,
115,7311,10/28/22,11:47,CARP3-Z1-372,1,2.3,100,91.3,4900,CARP3-Z1-372,,,,,,,,,,
116,7314,5/24/23,8:56,CARP4-Z2-150,2,7.5,100,61,1800,CARP4-Z2-150,,5/30/23,5/30/23,released,cod trap ,CARP5-Z2-150,61,1800,NA,"Recaptured by research team 1 week after release in same zone (Z2). Recapture depth 8.3m, temp 6.9C"
117,7603,5/24/23,9:13,CARP4-Z2-207,2,5,0,60,1800,CARP4-Z2-207,,,,,,,,,,
118,7315,5/24/23,9:25,CARP4-Z2-210,2,6.8,100,59.5,1400,CARP4-Z2-210,,,,,,,,,,
119,7606,5/24/23,9:51,CARP4-Z2-178,2,7.4,0,58,1500,CARP4-Z2-178,,,,,,,,,,
120,7316,5/24/23,10:00,CARP4-Z2-133,2,10.1,100,53,1400,CARP4-Z2-133,,,,,,,,,,
121,2609,5/24/23,10:34,CARP4-Z2-59,2,9.8,0,73.5,2900,CARP4-Z2-59,,,,,,,,,,
122,7317,5/24/23,11:35,CARP4-Z2-69,2,7.1,100,71.5,3200,CARP4-Z2-69,,,,,,,,,,
123,7610,5/24/23,11:50,CARP4-Z2-83,2,9.1,0,71.5,3150,CARP4-Z2-83,,,,,,,,,,
124,7319,5/24/23,12:05,CARP4-Z2-200,2,10,100,83,3700,CARP4-Z2-200,,,,,,,,,,
125,7607,5/24/23,12:12,CARP4-Z2-154,2,8.4,0,67,2850,CARP4-Z2-154,,,,,,,,,,
126,7321,5/24/23,12:15,CARP4-Z2-154,2,8.4,100,60,1200,CARP4-Z2-154,,,,,,,,,,
127,7486,5/25/23,9:10,CARP4-Z3-171,3,7,0,61,1450,CARP4-Z3-171,,,,,,,,,,
128,7322,5/25/23,9:07,CARP4-Z3-171,3,7,100,62.5,1600,CARP4-Z3-171,,,,,,,,,,
129,7487,5/25/23,9:45,CARP4-Z3-67,3,6.8,0,91,4150,CARP4-Z3-67,,,,,,,,,,
130,7324,5/25/23,10:11,CARP4-Z3-76,3,10.6,100,65,1900,CARP4-Z3-76,,,,,,,,,,
131,7488,5/25/23,10:27,CARP4-Z3-48,3,7.5,0,62,1850,CARP4-Z3-48,,,,,,,,,,
132,7325,5/25/23,10:45,CARP4-Z3-138,3,5,100,58.5,1450,CARP4-Z3-138,,,,,,,,,,
133,7489,5/26/23,9:30,CARP4-Z4-112,4,5.1,0,59.5,1250,CARP4-Z4-112,,,,,,,,,,
134,7326,5/26/23,9:48,CARP4-Z4-216,4,9.7,100,67.5,2600,CARP4-Z4-216,,,,,,,,,,
135,7491,5/26/23,10:03,CARP4-Z4-175,4,10.4,0,76.5,3400,CARP4-Z4-175,,,,,,,,,,
136,7327,5/26/23,10:28,CARP4-Z4-159,4,10.3,100,56,1650,CARP4-Z4-159,,,,,,,,,,
137,7492,5/26/23,11:03,CARP4-Z4-4,4,5.5,0,57,1400,CARP4-Z4-4,,,,,,,,,,
138,7328,5/27/23,10:07,CARP4-Z1-144,1,5.4,100,84.5,3600,CARP4-Z1-144,3 burbot in trap,,,,,,,,,
