Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),"Time 
Pulled",UTM Zone,UTM Easting,UTM Northing,"Trap 
Type", Bait ,"Depth
m",Temp C,"Secchi 
Depth m","Burbot 
Captured 
Y/N","No. Burbot 
Captured","Len 
(mm)",Wt (kg),"Girth 
(mm)","Tag 
applied 
(Y/N)","Tag No.
/ Colour","Recap 
(Y/N)","Tag No. 
/ Colour","Fate 
(D/L)",Decompression Stress (Y/N),Treatment,"Sacrificed 
(Y/N)","Sacrificied 
Code",Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-30,2-Jul-12,1459,4-Jul-11,1348,10U,477743,5987222,Hoop Trap L,NSC,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,2-Jul-12,1454,4-Jul-11,1344,10U,477492,5987357,Hoop Trap L,NSC,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,2-Jul-12,0951,4-Jul-11,0842,10U,477415,5986433,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,2-Jul-12,0959,4-Jul-11,0848,10U,477528,5986454,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,2-Jul-12,1006,4-Jul-11,0857,10U,477684,5986507,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,2-Jul-12,1013,4-Jul-11,0903,10U,477807,5986623,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,4-Jul-11,0932,6-Jul-11,0953,10U,476805,5986506,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,4-Jul-11,0940,6-Jul-11,1001,10U,476868,5986581,Hoop Trap L,NSC,10,15,3,Y,1 of 4,670,2.56,320,Y,Orange FWPG 02618,N,,L,N,ROSB,N,,Trap reset in same area. Fresh bait added. All fish vigorous and healthy at release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,4-Jul-11,0940,6-Jul-11,1001,10U,476868,5986581,Hoop Trap L,NSC,10,15,3,Y,2 of 4,650,1.78,270,Y,Orange FWPG 02617,N,,L,N,ROSB,N,,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,4-Jul-11,0940,6-Jul-11,1001,10U,476868,5986581,Hoop Trap L,NSC,10,15,3,Y,3 of 4,370,0.61,160,Y,Orange FWPG 02616,N,,L,N,ROSB,N,,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,4-Jul-11,0940,6-Jul-11,1001,10U,476868,5986581,Hoop Trap L,NSC,10,15,3,Y,4 of 4,330,0.42,130,Y,Orange FWPG 02615,N,,L,N,ROSB,N,,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,4-Jul-11,1005,6-Jul-11,1026,10U,476985,5986522,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,4-Jul-11,0922,6-Jul-11,0943,10U,476732,5986485,Hoop Trap L,NSC,9.4,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,4-Jul-11,0951,6-Jul-11,1012,10U,476913,5986494,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,4-Jul-11,1040,6-Jul-11,1101,10U,477605,5986655,Hoop Trap L,NSC,14.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,4-Jul-11,1159,6-Jul-11,1220,10U,477595,5987083,Hoop Trap L,NSC,11.9,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,4-Jul-11,1331,6-Jul-11,1352,10U,477598,5986754,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,4-Jul-11,1029,6-Jul-11,1050,10U,477469,5986607,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,4-Jul-11,0843,6-Jul-11,0904,10U,477264,5986424,Hoop Trap L,NSC,15.2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,4-Jul-11,1013,6-Jul-11,1034,10U,477276,5986531,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,4-Jul-11,1151,6-Jul-11,1112,10U,477725,5986702,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,4-Jul-11,1339,6-Jul-11,1400,10U,477649,5986749,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,4-Jul-11,1345,6-Jul-11,1406,10U,477674,5987036,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,4-Jul-11,1041,6-Jul-11,1102,10U,477407,5986896,Hoop Trap L,NSC,13,15,3,Y,1,670,1.95,270,Y,Orange FWPG 02611,N,,L,N,ROSB,N,,"Fish very weak upon release. Fish last seen at surface reviving. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,4-Jul-11,1137,6-Jul-11,1158,10U,477396,5987025,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,4-Jul-11,1134,6-Jul-11,1153,10U,477253,5987146,Hoop Trap L,NSC,6,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
