Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
3,13-Jun-09,1055,14-Jun-09,0857,10U,474933,5958874,Cod Trap, OF , CSU ,18.0,19,2.5,N,0,,,,,,,,,,,,"No burbot caught, old bait removed, new bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13-Jun-09,0849,14-Jun-09,1147,10U,477748,5959437,Cod Trap, CF , NSC ,13.5,19,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13-Jun-09,0856,14-Jun-09,1143,10U,477500,5959534,Cod Trap, CF , NSC ,13.8,18,2.5,N,0,,,,,,,,,,,,"No fish caught, bait still good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13-Jun-09,0913,14-Jun-09,1122,10U,477087,5959298,Cod Trap, OF , NSC ,20.7,19,2.5,N,0,,,,,,,,,,,,Fresh bait at set 06/13/09. No fish caught - bait not refreshed - reset in same spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13-Jun-09,1107,14-Jun-09,0905,10U,475252,5988793,Cod Trap, CF , NSC/CSU ,19.9,19,2.5,N,0,,,,,,,,,,,,No fish caught. Replaced bait. Reset same area. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14-Jun-09,0933,15-Jun-09,1133,10U,475564,5959322,Cod Trap, CF , NSC ,17.6,18,2.5,Y,1,420,0.71,160,Y,FW BLUE BC05178,N,,L,N,,,"Reset same area, refreshed bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14-Jun-09,1010,15-Jun-09,1110,10U,476032,5959247,Cod Trap, CF , NSC ,21.4,20,2.5,Y,1,381,0.67,151,Y,FW BLUE BC05179,N,,L,N,,,"Old bait removed, new bait added, cloudy / sunny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14-Jun-09,0908,15-Jun-09,1009,10U,475296,5958773,Cod Trap, CF , NSC ,20.4,19,2.5,Y,1,470,0.94,180,Y,FW BLUE BC05182,N,,L,N,,,"Old bait removed, new bait added. Cloudy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14-Jun-09,0846,15-Jun-09,0949,10U,474464,5958760,Cod Trap, OF , NSC ,16.0,17,2.5,Y,1,660,2.74,330,N,N/A,N,,L,Y,003,,"Sacrificed Burbot, replaced bait, old bait removed. Partly cloudy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14-Jun-09,1152,15-Jun-09,0855,10U,478511,5959236,Cod Trap, OF , NSC ,6.4,20,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, old bait removed - trap moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14-Jun-09,0900,15-Jun-09,1002,10U,474948,5958869,Cod Trap, OF , NSC ,18.5,18,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, old bait removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14-Jun-09,1149,15-Jun-09,1304,10U,477770,5959419,Cod Trap, CF , NSC ,13.5,20,2.4,N,0,,,,,,,,,,,,"Fresh bait added, old bait removed. Cloudy / Sunny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14-Jun-09,1144,15-Jun-09,1237,10U,477503,5959503,Cod Trap, CF , NSC ,13.9,20,2.5,N,0,,,,,,,,,,,,"Bait removed, new bait added. Sunny / cloudy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14-Jun-09,1133,15-Jun-09,1206,10U,477147,5959584,Cod Trap, CF , NSC ,19.9,20,2.5,N,0,,,,,,,,,,,,"Fresh bait added, old bait removed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14-Jun-09,1124,15-Jun-09,1200,10U,477098,5959292,Cod Trap, OF , NSC ,20.4,20,2.5,N,0,,,,,,,,,,,,"No fish caught, old bait removed, new bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14-Jun-09,1119,15-Jun-09,1152,10U,476803,5959524,Cod Trap, OF , NSC ,21.4,19,2.5,N,0,,,,,,,,,,,,"No fish caught, replaced bait, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14-Jun-09,1104,15-Jun-09,1142,10U,476533,5959502,Cod Trap, CF , NSC ,20.3,20,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not replaced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14-Jun-09,0944,15-Jun-09,1120,10U,475771,5959640,Cod Trap, CF , NSC ,17.9,18,2.5,N,0,,,,,,,,,,,,"No fish caught, most bait gone, fresh bait added, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14-Jun-09,1000,15-Jun-09,1127,10U,476180,5958984,Cod Trap, CF , NSC ,18.2,19,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added to old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14-Jun-09,0923,15-Jun-09,1017,10U,475572,5958969,Cod Trap, OF , NSC ,20.3,19,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15-Jun-09,1307,17-Jun-09,1354,10U,477754,5959439,Cod Trap, CF , NSC ,13.9,21,2.5,Y,1,640,2.27,270.5,Y,FW BLUE BC05165,N,,L,N,,,Replaced bait - reset trap in same area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15-Jun-09,1239,17-Jun-09,1327,10U,477380,5959979,Cod Trap, CF , NSC/PCC ,13.6,21,2.5,Y,1,565,1.95,260,Y,FW BLUE BC05166,N,,L,N,,,Fresh bait added - reset trap in same area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15-Jun-09,1208,17-Jun-09,1309,10U,477167,5959576,Cod Trap, CF , NSC/PCC ,19.5,21,2.5,Y,2 of 2,430,0.93,180,Y,FW BLUE BC05167,N,,L,N,,,windy / sunny / cloudy. Trap reset in same area. Smaller fish having trouble reviving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15-Jun-09,1208,17-Jun-09,1309,10U,477167,5959576,Cod Trap, CF , NSC/PCC ,19.5,21,2.5,Y,1 of 2,430,1.17,210,Y,FW BLUE BC05168,N,,L,N,,,windy / sunny / cloudy. Trap reset in same area. Smaller fish having trouble reviving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15-Jun-09,1129,17-Jun-09,1201,10U,476182,5958989,Cod Trap, CF , NSC ,17.4,20,2.5,Y,1,650,1.68,260,Y,FW BLUE BC05169 ,N,,L,N,,,"Trap rebaited, reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15-Jun-09,1138,17-Jun-09,1129,10U,475560,5959333,Cod Trap, CF , NSC ,17.4,19,2.5,Y,1 of 2,540,1.59,230,Y,FW BLUE BC05170,N,,L,N,,,"Reset same area, refreshed bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15-Jun-09,1014,17-Jun-09,1104,10U,475319,5958784,Cod Trap, CF , NSC ,20.1,19,2.5,Y,2 of 2,660,1.91,260,Y,FW BLUE BC05171,N,,L,N,,,"Refreshed bait, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15-Jun-09,1014,17-Jun-09,1104,10U,475319,5958784,Cod Trap, CF , NSC ,20.1,19,2.5,Y,1 of 2,540,1.26,220,Y,FW BLUE BC05172,N,,L,N,,,"Refreshed bait, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15-Jun-09,0958,17-Jun-09,1048,10U,474483,5958754,Cod Trap, OF , NSC ,16.3,19,2.5,Y,1,430,0.75,170,Y,FW BLUE BC05173,N,,L,N,,,Replaced bait - reset same area. Cloudy with sunny breaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15-Jun-09,1138,17-Jun-09,1129,10U,475560,5959333,Cod Trap, CF , NSC ,17.4,19,2.5,Y,2 of 2,710,2.98,340.5,N,N/A,N,,L,Y,004,,"Reset same area, refreshed bait, Burbot sacrificed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15-Jun-09,0906,17-Jun-09,1152,10U,475840,5959226,Cod Trap, OF , NSC ,20.4,20,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15-Jun-09,1005,17-Jun-09,1059,10U,474962,5958879,Cod Trap, OF , NSC ,18.5,19,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15-Jun-09,1202,17-Jun-09,1301,10U,477099,5959295,Cod Trap, OF , NSC ,20.0,20,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15-Jun-09,1154,17-Jun-09,1247,10U,476803,5959528,Cod Trap, OF , NSC ,20.4,20,2.5,N,0,,,,,,,,,,,,"No fish caught, replaced bait, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15-Jun-09,1144,17-Jun-09,1240,10U,476544,5959501,Cod Trap, CF , NSC ,20.7,20,2.5,N,0,,,,,,,,,,,,"No fish caught, lots of bait, bait not replaced, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15-Jun-09,1122,17-Jun-09,1219,10U,475767,5959658,Cod Trap, CF , NSC ,17.2,19,2.5,N,0,,,,,,,,,,,,"No fish caught, all bait gone, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15-Jun-09,1114,17-Jun-09,1213,10U,476041,5959269,Cod Trap, CF , PCC ,21.0,20,2.2,N,0,,,,,,,,,,,,"Bait still good, reset trap in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15-Jun-09,1021,17-Jun-09,1118,10U,475588,5958986,Cod Trap, OF , NSC ,20.1,19,2.5,N,0,,,,,,,,,,,,"No fish caught, fresh bait added, reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17-Jun-09,1214,18-Jun-09,1005,10U,476082,5959261,Cod Trap, CF , NSC ,20.7,18,2.5,Y,1,520,1.28,221,Y,FW BLUE BC05159,N,,L,N,,,Pulled trap. Cloudy / breezy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17-Jun-09,1155,18-Jun-09,1054,10U,475877,5959188,Cod Trap, OF , NSC ,20.3,18,2.5,Y,1,650,1.92,280,Y,FW BLUE BC05161,N,,L,N,,,Traps Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17-Jun-09,1114,18-Jun-09,0933,10U,475358,5958798,Cod Trap, CF , NSC ,19.8,18,2.5,Y,1,620,2.2,270,Y,FW BLUE BC05162,N,,L,N,,,Trap pulled. Sunny / cloudy periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17-Jun-09,1102,18-Jun-09,0926,10U,474981,5958890,Cod Trap, OF , NSC ,17.4,18,2.5,Y,1,650,2.22,270,Y,FW BLUE BC05163,N,,L,N,,,Pulled trap. Cloudy with sunny breaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17-Jun-09,1054,18-Jun-09,0917,10U,474496,5958765,Cod Trap, OF , NSC ,16.4,17,2.5,Y,1,400,0.67,151,Y,FW BLUE BC05164,N,,L,N,,,Trap 2 pulled. sunny/clouds/windy/lake calm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17-Jun-09,1401,18-Jun-09,1108,10U,477770,5959436,Cod Trap, CF , NSC ,13.6,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17-Jun-09,1333,18-Jun-09,1050,10U,477513,5959528,Cod Trap, CF , NSC ,13.6,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17-Jun-09,1318,18-Jun-09,1045,10U,477198,5959585,Cod Trap, CF , NSC ,19.3,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17-Jun-09,1303,18-Jun-09,1039,10U,477110,5959294,Cod Trap, OF , NSC ,19.7,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17-Jun-09,1249,18-Jun-09,1039,10U,476846,5959530,Cod Trap, OF , NSC ,19.6,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17-Jun-09,1241,18-Jun-09,1020,10U,476559,5959506,Cod Trap, CF , NSC ,19.9,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17-Jun-09,1235,18-Jun-09,1013,10U,475808,5959669,Cod Trap, CF , NSC ,17.4,17,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17-Jun-09,1209,18-Jun-09,1000,10U,476206,5958976,Cod Trap, CF , NSC ,11.8,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17-Jun-09,1148,18-Jun-09,0948,10U,475584,5959330,Cod Trap, CF , NSC ,17.4,17,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17-Jun-09,1121,18-Jun-09,0944,10U,475609,5958980,Cod Trap, OF , NSC ,19.9,18,2.5,N,0,,,,,,,,,,,,"No fish, trap pulled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29-Sep-09,1240,30-Sep-09,1208,10U,474553,5958852,Cod Trap, N/A , Sockeye ,13.1,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29-Sep-09,1257,30-Sep-09,1232,10U,474874,5958403,Cod Trap, N/A , Sockeye ,14.0,11,1,N,0,,,,,,,,,,,,Overcast on 09/29/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29-Sep-09,1302,30-Sep-09,1237,10U,475052,5958681,Cod Trap, N/A , Sockeye ,19.0,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29-Sep-09,1312,30-Sep-09,1244,10U,475174,5959019,Cod Trap, N/A , Sockeye ,11.1,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29-Sep-09,1320,30-Sep-09,1243,10U,475605,5958685,Cod Trap, N/A , Sockeye ,16.9,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29-Sep-09,1325,30-Sep-09,1255,10U,475810,5958098,Cod Trap, N/A , Sockeye ,20.0,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,29-Sep-09,1331,30-Sep-09,1300,10U,475684,5959571,Cod Trap, N/A , Sockeye ,16.7,11,1,N ,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29-Sep-09,1337,30-Sep-09,1306,10U,476275,5959176,Cod Trap, N/A , Sockeye ,20.9,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29-Sep-09,1345,30-Sep-09,1312,10U,476396,5959562,Cod Trap, N/A , Sockeye ,19.0,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,29-Sep-09,1352,30-Sep-09,1322,10U,476724,5959428,Cod Trap, N/A , Sockeye ,21.0,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29-Sep-09,1356,30-Sep-09,1327,10U,476968,5959468,Cod Trap, N/A , Sockeye ,21.6,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,29-Sep-09,1400,30-Sep-09,1336,10U,476772,5959660,Cod Trap, N/A , Sockeye ,14.0,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,29-Sep-09,1405,30-Sep-09,1342,10U,476855,5959767,Cod Trap, N/A , Sockeye ,15.7,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29-Sep-09,1409,30-Sep-09,1347,10U,476981,5959608,Cod Trap, N/A , Sockeye ,18.7,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,29-Sep-09,1412,30-Sep-09,1355,10U,477389,5959517,Cod Trap, N/A , Sockeye ,20.2,11,1,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30-Sep-09,1212,1-Oct-09,1020,10U,474560,5958832,Cod Trap, N/A , Sockeye ,15.9,13,1.5,N,0,,,,,,,,,,,,Moved trap to new location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30-Sep-09,1234,1-Oct-09,1033,10U,474892,5958418,Cod Trap, N/A , Sockeye ,15.8,14,1.5,N,0,,,,,,,,,,,,Moved trap to new location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30-Sep-09,1239,1-Oct-09,1044,10U,475067,5959705,Cod Trap, N/A , Sockeye ,22.4,13,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30-Sep-09,1245,1-Oct-09,1050,10U,475175,5959030,Cod Trap, N/A , Sox/NSC ,10.6,12,1.5,N,0,,,,,,,,,,,,NSC (230mm) used for bait,NSC,4,0,300,170,160,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30-Sep-09,1250,1-Oct-09,1101,10U,475644,5958689,Cod Trap, N/A , Sockeye ,17.5,12,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30-Sep-09,1256,1-Oct-09,1109,10U,475822,5959139,Cod Trap, N/A , Sox/NSC ,23.0,11,1.5,N,0,,,,,,,,,,,,NSC added to bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30-Sep-09,1302,1-Oct-09,1126,10U,475708,5959598,Cod Trap, N/A , Sockeye ,19.4,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30-Sep-09,1308,1-Oct-09,1131,10U,476305,5959195,Cod Trap, N/A , Sox/NSC ,24.3,11,1.5,N,0,,,,,,,,,,,,NSC added as bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30-Sep-09,1314,1-Oct-09,1141,10U,476423,5959595,Cod Trap, N/A , Sockeye ,21.6,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30-Sep-09,1324,1-Oct-09,1152,10U,477258,5959379,Cod Trap, N/A , Sockeye ,18.2,11,1.5,N,0,,,,,,,,,,,,Relocated trap on 09/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30-Sep-09,1332,1-Oct-09,1200,10U,477139,5959637,Cod Trap, N/A , Sockeye ,21.9,11,1.5,N,0,,,,,,,,,,,,No Comment,RSC,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30-Sep-09,1330,1-Oct-09,1207,10U,476797,5959668,Cod Trap, N/A , Sockeye ,15.7,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30-Sep-09,1334,1-Oct-09,1212,10U,476864,5959780,Cod Trap, N/A , Sockeye ,18.4,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,30-Sep-09,1350,1-Oct-09,1231,10U,477430,5959717,Cod Trap, N/A , Sockeye ,21.4,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30-Sep-09,1357,1-Oct-09,1235,10U,477395,5959523,Cod Trap, N/A , Sockeye ,22.4,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-Oct-09,1026,2-Oct-09,1120,10U,473804,5958783,Cod Trap, N/A , Sox/PCC ,9.0,10,1.5,N,0,,,,,,,,,,,,Moved trap 10/02/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-Oct-09,1037,2-Oct-09,1129,10U,474886,5958342,Cod Trap, N/A , Sox/PCC ,10.9,10,1.5,N,0,,,,,,,,,,,,P Mouth added to bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1-Oct-09,1045,2-Oct-09,1135,10U,475054,5958708,Cod Trap, N/A , Sox/PCC ,21.9,10,1.5,N,0,,,,,,,,,,,,P Mouth added as bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-Oct-09,1054,2-Oct-09,1143,10U,475173,5959018,Cod Trap, N/A , Sockeye ,13.9,10,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-Oct-09,1102,2-Oct-09,1152,10U,475640,5958662,Cod Trap, N/A , Sockeye ,16.8,10,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-Oct-09,1110,2-Oct-09,1157,10U,475825,5959123,Cod Trap, N/A , Sox/PCC ,22.6,10,1.5,N,0,,,,,,,,,,,,P Mouth added as bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1-Oct-09,1128,2-Oct-09,1240,10U,475708,5959586,Cod Trap, N/A , Sockeye ,19.2,10,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1-Oct-09,1134,2-Oct-09,1229,10U,476307,5959183,Cod Trap, N/A , Sox/NSC ,24.3,10,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1-Oct-09,1148,2-Oct-09,1248,10U,476411,5959598,Cod Trap, N/A , Sox/NSC ,21.3,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1-Oct-09,1153,2-Oct-09,1257,10U,477247,5959386,Cod Trap, N/A , Sockeye ,18.0,11,1.5,N,0,,,,,,,,,,,,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1-Oct-09,1202,2-Oct-09,1303,10U,477140,5959639,Cod Trap, N/A , Sockeye ,20.9,11,1.5,N,0,,,,,,,,,,,,Sockeye added to bait  10/01/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1-Oct-09,1209,2-Oct-09,1312,10U,476800,5959671,Cod Trap, N/A , Sockeye ,16.4,11,1.5,N,0,,,,,,,,,,,,Sockeye added to bait  10/01/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1-Oct-09,1214,2-Oct-09,1317,10U,476881,5959798,Cod Trap, N/A , Sox/PCC ,17.8,11,1.5,N,0,,,,,,,,,,,,P Mouth added as bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1-Oct-09,1232,2-Oct-09,1328,10U,477450,5959735,Cod Trap, N/A , Sockeye ,17.7,11,1.5,N,0,,,,,,,,,,,,Sockeye added to bait  10/01/09. Whole sox added 10/02/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1-Oct-09,1236,2-Oct-09,1336,10U,477424,5959555,Cod Trap, N/A , Sockeye ,14.5,11,1.5,N,0,,,,,,,,,,,,Whole sox added 10/02/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-Oct-09,1123,3-Oct-09,0902,10U,473780,5958774,Cod Trap, N/A , Sox/PCC ,8.9,10,1.5,N,0,,,,,,,,,,,,Trap Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2-Oct-09,1131,3-Oct-09,0913,10U,474903,5958329,Cod Trap, N/A , Sox/PCC ,9.5,10,1.5,N,0,,,,,,,,,,,,Trap Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2-Oct-09,1138,3-Oct-09,0920,10U,475067,5958687,Cod Trap, N/A , Sox/PCC ,22.1,10,1.5,N,0,,,,,,,,,,,,Trap Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2-Oct-09,1146,3-Oct-09,0923,10U,475233,5959013,Cod Trap, N/A , Sockeye ,14.0,10,1.5,N,0,,,,,,,,,,,,Trap Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2-Oct-09,1152,3-Oct-09,0930,10U,475678,5958670,Cod Trap, N/A , Sox/PCC ,16.9,10,1.5,N,0,,,,,,,,,,,,Trap Pulled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
