Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
8,6-Jun-09,1930,7-Jun-09,1534,10U,476868,5959550,Cod Trap, OF , Salmon ,20.9,13,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6-Jun-09,2011,7-Jun-09,1525,10U,476592,5959462,Cod Trap, CF , Salmon ,22.9,13,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not replenished / refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6-Jun-09,2016,7-Jun-09,1516,10U,476303,5959378,Cod Trap, CF , Salmon ,23.5,12,1.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed. Trap re-set same UTM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6-Jun-09,2028,7-Jun-09,1454,10U,475898,5959236,Cod Trap, CF , Salmon ,21.7,12,1.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6-Jun-09,2039,7-Jun-09,1443,10U,475700,5959213,Cod Trap, CF , Salmon ,21.7,12,1.5,N,0,,,,,,,,,,,,"No fish caught, bait replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6-Jun-09,2100,7-Jun-09,1416,10U,475238,5959003,Cod Trap, CF , Salmon ,15.0,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not replaced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7-Jun-09,1708,8-Jun-09,0847,10U,478268,5959303,Cod Trap, OF , Salmon ,6.1,14,2.1,N,0,,,,,,,,,,,,Bait not refreshed,PCC,1,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7-Jun-09,1659,8-Jun-09,0851,10U,478099,5959399,Cod Trap, OF , Salmon ,11.5,14,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7-Jun-09,1654,8-Jun-09,0857,10U,477876,5959402,Cod Trap, OF , Salmon ,12.0,14,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7-Jun-09,1642,8-Jun-09,0906,10U,477712,5959388,Cod Trap, CF , Salmon ,9.1,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
