Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag Applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificed Code,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
17,27-Jun-11,1126,29-Jun-11,1222,10U,476634,5986353,Cod Trap,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27-Jun-11,1130,29-Jun-11,1227,10U,476885,5986647,Cod Trap,NSC,7.2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27-Jun-11,1013,29-Jun-11,1109,10U,476065,5986212,Cod Trap,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,27-Jun-11,1119,29-Jun-11,1214,10U,476463,5986381,Cod Trap,NSC,9.5,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27-Jun-11,1032,29-Jun-11,1128,10U,477054,5986320,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,27-Jun-11,1055,29-Jun-11,1150,10U,477126,5986274,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,27-Jun-11,1300,29-Jun-11,1356,10U,477223,5985841,Cod Trap,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,27-Jun-11,1028,29-Jun-11,1124,10U,476995,5986605,Cod Trap,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,28-Jun-11,0905,30-Jun-11,0935,10U,476808,5986502,Hoop Trap L,NSC,10,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,28-Jun-11,0916,30-Jun-11,0946,10U,476861,5986589,Hoop Trap L,NSC,10,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
