Trap #,Date Set,Time Set,Date Pulled,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour2,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificied Code,Comments,Sp.,No.L,No.D,Len,Len3,Len4,Len5,Len6,Sp.7,No.L8,No.D9,Len10,Len11,Len12,Len13,Len14,Sp.15,No.L16,No.D17,Len18,Len19,Len20,Len21,Len22,Sp.23,No.L24,No.D25,Len26,Len27,Len28,Len29,Len30,Sp.31,No.L32,No.D33,Len34,Len35,Len36
H-17,15-Oct-10,1127,19-Oct-10,1052,10U,474925,5986226,Hoop Trap L, 2 Pieces of Sockeye ,4.8,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,CAS,3,0,75,76,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,15-Oct-10,1229,19-Oct-10,1154,10U,477082,5986176,Hoop Trap L, 1 Pieces of Sockeye + 2 NSC ,15.0,8,2,Y,1,690,2.9,290,Y,Orange FWPG 2190,N,,L,N,ROSB,N,,Old bait removed on 10/19/10. Trap reset in same general location. Burbot released.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-19,15-Oct-10,1155,19-Oct-10,1144,10U,476474,5986329,Hoop Trap L, 1 Pieces of Sockeye + 2 NSC ,11.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. Trap had separated at the rebar hoop connection. Repair was made and trap was set.,NSC,4,0,160,145,150,90,,CAS,1,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,15-Oct-10,1120,19-Oct-10,1131,10U,476750,5986392,Hoop Trap L, 1 Pieces of Sockeye + 2 NSC ,13.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. ,NSC,4,0,150,140,145,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,15-Oct-10,1308,19-Oct-10,1347,10U,477243,5986635,Hoop Trap L, 2 Pieces of Sockeye ,11.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,14,0,250,360,190,270,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,15-Oct-10,1213,19-Oct-10,1137,10U,476904,5986259,Hoop Trap L, 2 Pieces of Sockeye + 1 NSC ,15.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,3,0,150,130,90,,,CAS,1,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,15-Oct-10,1427,19-Oct-10,1355,10U,477430,5986867,Hoop Trap L, 2 Pieces of Sockeye ,14.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. Trap repaired hoop separated from rebar.,NSC,2,0,135,115,,,,CAS,1,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,15-Oct-10,1342,19-Oct-10,1407,10U,477611,5986795,Hoop Trap L, 2 Pieces of Sockeye ,14.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,1,0,130,,,,,CAS,5,0,75,79,84,74,80,,,,,,,,,,,,,,,,,,,,,,
H-26,15-Oct-10,1240,19-Oct-10,1238,10U,477061,5986647,Hoop Trap L, 3 Pieces of Sockeye + 1 NSC ,12.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. Some bi-catch kept for bait.,NSC,11,0,150,165,130,105,160,CAS,3,0,85,65,79,,,,,,,,,,,,,,,,,,,,,,,,
H-27,15-Oct-10,1324,19-Oct-10,1302,10U,477399,5986468,Hoop Trap L, 1 Piece of Sockeye + 3 Pieces NSC ,15.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. ,NSC,1,0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,15-Oct-10,1417,19-Oct-10,1432,10U,477779,5987237,Hoop Trap L, 2 Pieces of Sockeye + 1 NSC ,2.0,8,2,N,0,,,,,,,,,,,,,Old bait removed and fresh bait added on 10/19/10. Trap reset in same general location. ,NSC,4,0,240,240,175,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,15-Oct-10,1118,19-Oct-10,1046,10U,474749,5986196,Hoop Trap L, 3 Pieces of Sockeye ,4.9,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. ,CAS,1,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,15-Oct-10,1439,19-Oct-10,1453,10U,478492,5987555,Hoop Trap L, 3 Pieces of Sockeye ,4.2,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. ,NSC,3,0,140,90,85,,,CAS,6,0,65,65,75,70,70,,,,,,,,,,,,,,,,,,,,,,
H-31,15-Oct-10,1404,19-Oct-10,1421,10U,477468,5987345,Hoop Trap L, 1 Piece of Sockeye + 2 NSC ,4.3,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location. ,NSC,2,0,125,135,,,,CAS,1,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,19-Oct-10,1257,25-Oct-10,1148,10U,477478,5986444,Hoop Trap L, 2 Pieces of Smoked Sockeye ,15.0,9,2,Y,1,830,4.05,370,N,,,,L,N,,Y,132,No Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,19-Oct-10,1417,25-Oct-10,1309,10U,477534,5986974,Hoop Trap L, 2 Pieces of Smoked Sockeye ,14.0,9,2,N,0,,,,,,,,,,,,,Old bait removed on 10/25/10 Trap reset in same general location. Trap was untied at tail end upon retreival.,CAS,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,19-Oct-10,1103,25-Oct-10,0952,10U,475426,5986182,Hoop Trap L, 1 Pieces of Smoked Sockeye + 1 Piece of BB ,6.6,9,2,Y,1,410,0.6,160,N,,N,,L,N,,Y,130,Old bait removed on 10/25/10 Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,19-Oct-10,1506,25-Oct-10,1356,10U,478685,5987262,Hoop Trap L, 2 Pieces of Smoked Sockeye ,12.0,9,2,Y,1,470,0.89,190,Y,Orange FWPG 2182,N,,L,N,,N,,Old bait removed on 10/25/10 Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,19-Oct-10,1110,25-Oct-10,1011,10U,475838,5986187,Hoop Trap L, 2 Pieces of Smoked Sockeye ,9.0,9,2,N,0,,,,,,,,,,,,,Old bait removed on 10/25/10 Trap reset in same general location.,NSC,2,0,165,129,,,,CAS,1,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,19-Oct-10,1442,25-Oct-10,1239,10U,477632,5986613,Hoop Trap L, 1 NSC + 1 Piece of Smoked Salmon ,15.0,9,2,N,0,,,,,,,,,,,,,Old bait removed on 10/25/10 Trap reset in same general location.,CSU,1,0,440,,,,,CAS,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,19-Oct-10,1450,25-Oct-10,1334,10U,478341,5987321,Hoop Trap L, 2 Pieces of Smoked Sockeye ,10.0,9,2,Y,1,460,0.92,220,Y,Orange FWPG 2183,N,,L,N,,N,,o Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,19-Oct-10,1341,25-Oct-10,1233,10U,477501,5986586,Hoop Trap L, 2 Pieces of Smoked Sockeye ,15.0,9,2,N,0,,,,,,,,,,,,,Old bait removed on 10/25/10 Trap reset in same general location.,CAS,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,19-Oct-10,1041,25-Oct-10,0933,10U,474695,5986058,Hoop Trap L, 2 Pieces of Smoked Sockeye ,6.2,9,2,N,0,,,,,,,,,,,,,Trap relocated to deeper water (out of weeds). Old bait removed.,CAS,6,0,70,55,70,90,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,19-Oct-10,1055,25-Oct-10,0947,10U,475130,5986193,Hoop Trap L, 2 Pieces of Smoked Sockeye ,5.5,9,2,N,0,,,,,,,,,,,,,Old bait removed on 10/25/10 Trap reset in same general location. ,CAS,4,0,65,80,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
